id,home_team,away_team
16qgk4z,lamar,lincolnca-sheet4-row31-col12
16qgk65,davidson,standrewsnc-sheet4-row02-col06
16qgk7c,tennesseetech,kennesawstate
16qgk8s,incarnateword,northamerican-sheet4-row12-col01
16qh898,georgia,uab
16qh8am,baylor,texas
16qh8bv,indiana,akron
16qh8cr,memphis,missouri
16qh8dy,northwestern,minnesota
16qh8ez,southcarolina,mississippistate
16qh8fz,louisiana,buffalo
16qh8h1,notredame,ohiostate
16qh8i7,pennstate,iowa
16qhwes,kansasstate,ucf
16qhwft,pittsburgh,northcarolina
16qhwh1,utahstate,jamesmadison
16qhwhz,southernutah,westernillinois
16qhwj0,weberstate,montanastate
16qj720,utep,unlv
16qkf6y,ucdavis,easternwashington
16ql0u1,arizonastate,usc
16ql0uy,washington,california
16ql0w5,fresnostate,kentstate
16qmr42,hawaii,newmexicostate
16utw04,wku,middletennessee
16utw10,tulsa,temple
16uunik,samhoustonstate,jacksonvillestate
16vornr,ncstate,louisville
16vorp7,princeton,columbia
16vrr41,oregonstate,utah
16vrr50,utep,louisianatech
16vtigq,byu,cincinnati
16w91ub,colorado,usc
16w91v4,northwestern,pennstate
16w91w6,syracuse,clemson
16w91xa,texasam,arkansas
16w91y3,tulane,uab
16w91zf,kentucky,florida
16w920r,jamesmadison,southalabama
16w921o,akron,buffalo
16w922m,minnesota,louisiana
16w923m,connecticut,utahstate
16w924d,robertmorris,howard
16w925j,yale,morganstate
16w926k,brown,ccsu
16w927v,liu,duquesne
16w928t,davidson,sandiego
16waiye,marist,stetson
16waiza,delawarestate,virginialynchburg-sheet4-row31-col19
16waj0o,sacredheart,merrimack
16waj1s,stonehill,stfrancis
16waj2m,monmouth,lehigh
16waj3o,pennsylvania,dartmouth
16waj4l,rhodeisland,bryant
16waj5s,dayton,stthomasmn
16waj6w,butler,presbyterian
16waj81,samford,easttennesseestate
16wb8so,centralmichigan,easternmichigan
16wbxrj,bostoncollege,virginia
16wbxsn,georgetown,fordham
16wbxtf,moreheadstate,drake
16wbxu7,norfolkstate,northcarolinaat
16wbxv9,lindenwood,austinpeay
16wbxvz,cornell,colgate
16wbxx1,northdakotastate,southdakota
16wbxy0,northerniowa,youngstownstate
16wbxzf,elon,williammary
16wby0m,richmond,hampton
16wby1m,valparaiso,southwestminnesotastate-sheet2-row12-col11
16wby2t,citadel,westerncarolina
16wcnyh,kentstate,miamioh
16wddvm,california,arizonastate
16wddwr,alabamaam,tuskegee-sheet2-row15-col13
16wddxi,texassouthern,lincolnca-sheet4-row31-col12
